       job_description_hash       | count 
 4a51a8e260aed3d5474ff4860ed0920f |    69
 2217ee6cbe6701c5d995d11adb8f8ec2 |    68
 01042ecf945613fbadc2683794999a70 |    68
 86984a41eabf8a3487a06348a0a17c55 |    68
 7ef92fddf4761ac5514b0399d5052e2a |    68
 eb60e645a3861cbc137c338b5b50d916 |    68
 a49ce03fb5b8526f3962a9e8cc05db02 |    68
 cc7638ae113300522408d45e58363144 |    68
 fecea01c3376d35b89240c109eb0c4ed |    68
 540203d28cc2d220b87071ab942f1d9a |    67
 775c2f2acf0d49106b157ced0dd0ff35 |    67
 18a27c72d60c89822162e4b8957fc524 |    67
 548d4de1473bbf590da80a841dd1c365 |    67
 1f09e3eed32a3b4731155b31abaec9d3 |    67
 98e48c7527ba3a51d9375d438554ae6e |    67
 902b6884f207020bd799716966ad9942 |    67
 979725e4a88fc06d14634539fccc6ffb |    67
 e31c23e531d422400f14cd95ffa81e16 |    67
 87141adab7a5b15cda24f10448f77893 |    67
 b6b4f43bde94fdd63b3a8fddfa88bc72 |    66
 f48a5ab8cf9e5d6f0ecea09a22cfb3b6 |    66
 2dfa4f02a8cb3fe32481b4c66b3cac3b |    66
 24a2d33ef303f9717891fc4dbff98fdf |    66
 3ed8ce34efb5194e3bde054c5c389300 |    66
 0f5453a5fcb9f6f2e126de504fb1034d |    66
 61e3c2c1393a2545ec03caf0d61456e5 |    66
 10f68b8fecdb0b0c5a3aac1b642ff9ca |    65
 2f39f5e93736bc767c3eba00e87097a4 |    65
 664ddea5640e6a6cdd07ecbba4482294 |    65
 0a7b2eaba6fbd65e544724155368b7fc |    65
 b573dcc1102e50f3eaec68f5d0407a34 |    65
 ab0d481fb5763a39f02eeb7c451d6cde |    65
 834c1d9e2706a0b68dd5445832fa26f2 |    65
 ba01263b42df21386f607050f606f7bd |    65
 8c0c797697a60ff11fe0e0ab65b57bf8 |    65
 b586f90423032093235fc23f239250d5 |    65
 d7942bc7c3cf6ee9db078c4e48e77aa2 |    65
 9185986ba40f340d34e1b6c881af0af1 |    65
 ba0eed95ed00c5e2f2245bade0be608c |    64
 d8df9f7b4a1d434d31606b19d2e189af |    64
 e0095afe5d9bddcf8cae540c69e7c07e |    64
 71cec910bbc188ab8bf1ae3ea08326ff |    64
 4bd12bca14458f9a42c3794795fcfded |    64
 61db5cb4452d8554adb4c36ad7de8116 |    64
 16f374ffe8437af872ed6029721929a1 |    64
 15c217b37e492926c66c0d15564199cd |    64
 60ac15a30ba25a24d003019e13f39c37 |    64
 1ed853930c57ffca1f3c198f3ba06e34 |    64
 51cb49298802b8af540b43a8f1120bf7 |    63
